1094	S. Fischer Verlag	1911	Berlin	2. Aufl.	Reisiger, Hans	Maria Marleen	Roman
1095	S. Fischer Verlag	1911	Berlin	NaN	Dehmel, Richard	Michel Michael	Komödie in 5 Akten
1096	S. Fischer Verlag	1911	Berlin	NaN	Hoechstetter, Sophie	Passion	Roman
1097	S. Fischer Verlag	1911	Berlin	NaN	Geijerstam, Gustaf af	Pastor Hallin	NaN
1098	S. Fischer Verlag	1911	Berlin	NaN	Hamsun, Knut	Redakteur Lynge	Roman
1099	S. Fischer Verlag	1911	Berlin	NaN	Crüwell, G. A.	Schönwiesen	Ein Schauspiel
1101	S. Fischer Verlag	1911	Berlin	NaN	Kyser, Hans	Titus und die Jüdin	Tragödie in 3 Akten
1103	S. Fischer Verlag	1911	Berlin	NaN	Gozzi, Carlo	Turandot	Chines. Märchenspiel
1041	S. Fischer Verlag	1912	Berlin	5. Aufl.	Holitscheer, Arthur	Amerika heute und morgen	Reiseerlebnisse
1042	S. Fischer Verlag	1912	Berlin	NaN	Tolstoj, Lev Nikolaevič	Chadschi Murat	NaN
1043	S. Fischer Verlag	1912	Berlin	NaN	Hirschfeld, Georg	Das Mädchen von Lille	Roman
1044	S. Fischer Verlag	1912	Berlin	2. Aufl.	Bahr, Hermann	Das Prinzip	Lustspiel
1045	S. Fischer Verlag	1912	Berlin	NaN	Bahr, Hermann	Das Prinzip	Lustspiel
1046	S. Fischer Verlag	1912	Berlin	NaN	Hausdorff, Felix	Der Arzt seiner Ehe	Groteske
1047	S. Fischer Verlag	1912	Berlin	5 Aufz.	Sorge, Reinhard Johannes	Der Bettler	Eine dramat. Sendung
1048	S. Fischer Verlag	1912	Berlin	15. Aufl.	Hauptmann, Gerhart	Der Biberpelz	E. Diebskomödie
1049	S. Fischer Verlag	1912	Berlin	4.-6. Tsd.	Hesse, Hermann	Der Lindenbaum	dt. Volkslieder ; Auswahl
1050	S. Fischer Verlag	1912	Berlin	NaN	Lichtwark, Alfred	Der rheinische Bismarck	NaN
1051	S. Fischer Verlag	1912	Berlin	21.-22. Aufl.	Hartleben, Otto Erich	Die Geschichte vom abgerissenen Knopfe	NaN
1052	S. Fischer Verlag	1912	Berlin	Neue veränd. Ausg.	Schaffner, Jakob	Die Irrfahrten des Jonathan Bregger	Roman
1053	S. Fischer Verlag	1912	Berlin	NaN	Berend, Alice	Die Reise des Herrn Sebastian Wenzel	Roman
